chemical	name	molecular_weight	SMILES_string
CIDs00000076	dehydroepiandrosterone	288.42442	CC12CCC3C(C1CCC2=O)CC=C4C3(CCC(C4)O)C
CIDs00000137	5-aminolevulinic acid	131.12986	C(CC(=O)O)C(=O)CN
CIDs00000158	8-iso-prostaglandin E2	352.46508	CCCCCC(C=CC1C(CC(=O)C1CC=CCCCC(=O)O)O)O
CIDs00000159	AC1O5HI7	352.46508	CCCCCC(C=CC1C(CC2C1CC(=CCCCC(=O)O)O2)O)O
CIDs00000160	prostaglandin F2	354.48096	CCCCCC(C=CC1C(CC(C1CC=CCCCC(=O)O)O)O)O
CIDs00000174	polyethylene glycol	62.06784	C(CO)O
CIDs00000187	acetylcholine	146.20744	CC(=O)OCC[N+](C)(C)C
CIDs00000204	allantoin	158.11544	C1(C(=O)NC(=O)N1)NC(=O)N
CIDs00000205	Threonine	119.11916	CC(C(C(=O)O)N)O
CIDs00000206	dextrose	180.15588	C(C1C(C(C(C(O1)O)O)O)O)O
CIDs00000214	prink	354.48096	CCCCCC(C=CC1C(CC(=O)C1CCCCCCC(=O)O)O)O
CIDs00000222	ammonia	17.03052	N
CIDs00000232	arginine	174.20096	C(CC(C(=O)O)N)CN=C(N)N
CIDs00000236	asparagine	132.11792	C(C(C(=O)O)N)C(=O)N
CIDs00000237	quinacrine	399.9568	CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC
CIDs00000239	beta-alanine	89.09318	C(CN)C(=O)O
CIDs00000244	benzyl alcohol	108.13782	C1=CC=C(C=C1)CO
CIDs00000247	betaine	117.14634	C[N+](C)(C)CC(=O)[O-]
CIDs00000253	D-biotin	244.31064	C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2
CIDs00000280	carbon dioxide	44.0095	C(=O)=O
CIDs00000298	chloramphenicole	323.12938	C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-]
CIDs00000303	sodium cholate	408.5714	CC(CCC(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C
CIDs00000305	choline	104.17076	C[N+](C)(C)CCO
CIDs00000307	cinnamaldehyde	132.15922	C1=CC=C(C=C1)C=CC=O
CIDs00000308	cinnamyl alcohol	134.1751	C1=CC=C(C=C1)C=CCO
CIDs00000311	citric acid	192.12352	C(C(=O)O)C(CC(=O)O)(C(=O)O)O
CIDs00000338	salicylate	138.12074	C1=CC=C(C(=C1)C(=O)O)O
CIDs00000389	DL-ornithine	132.16098	C(CC(C(=O)O)N)CN
CIDs00000401	D-cycloserine	102.09194	C1C(C(=O)NO1)N
CIDs00000424	aspartate	133.10268	C(C(C(=O)O)N)C(=O)O
CIDs00000444	bupropion	239.74112	CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C
CIDs00000450	estropause	272.38196	CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O
CIDs00000453	hexitol	182.17176	C(C(C(C(C(CO)O)O)O)O)O
CIDs00000460	guaiacol	124.13722	COC1=CC=CC=C1O
CIDs00000525	malate	134.08744	C(C(C(=O)O)O)C(=O)O
CIDs00000564	EACA	131.17292	C(CCC(=O)O)CCN
CIDs00000573	1) beta-carotene	536.87264	CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CCCC2(C)C)C)C)C
CIDs00000581	2-acetylamino-3-mercaptopropionic acid	163.19486	CC(=O)NC(CS)C(=O)O
CIDs00000594	Hcys	121.15818	C(C(C(=O)O)N)S
CIDs00000595	dicysteine	240.30048	C(C(C(=O)O)N)SSCC(C(=O)O)N
CIDs00000596	Cytosar-U	243.21662	C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O
CIDs00000602	alanine	89.09318	CC(C(=O)O)N
CIDs00000611	monosodium glutamate	147.12926	C(CC(=O)O)C(C(=O)O)N
CIDs00000612	lactate	90.07794	CC(C(=O)O)O
CIDs00000614	proline (P	115.13046	C1CC(NC1)C(=O)O
CIDs00000617	polyserine	105.09258	C(C(C(=O)O)N)O
CIDs00000679	DMSO	78.13344	CS(=O)C
CIDs00000681	dopamine	153.17844	C1=CC(=C(C=C1CCN)O)O
CIDs00000698	Folliculinum	270.36608	CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)O
CIDs00000700	ethanolamine	61.08308	C(CO)N
CIDs00000702	ethanol	46.06844	CCO
CIDs00000712	formalin	30.02598	C=O
CIDs00000727	lindane	290.82984	C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl
CIDs00000736	glucono-delta-lactone	178.14	C(C1C(C(C(C(=O)O1)O)O)O)O
CIDs00000739	dona	179.17112	C(C1C(C(C(C(O1)O)N)O)O)O
CIDs00000745	reduced glutathione	307.32348	C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N
CIDs00000750	glycine	75.0666	C(C(=O)O)N
CIDs00000753	glycerol	92.09382	C(C(CO)O)O
CIDs00000754	glycerol-3-phosphate	172.073722	C(C(COP(=O)(O)O)O)O
CIDs00000772	heparin	1134.92788	CC(=O)NC1C(C(C(OC1O)COS(=O)(=O)O)OC2C(C(C(C(O2)C(=O)O)OC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)C(=O)O)O)O)OS(=O)(=O)O)OS(=O)(=O)O)NS(=O)(=O)O)O)OS(=O)(=O)O)O
CIDs00000773	histidine	155.15456	C1=C(NC=N1)CC(C(=O)O)N
CIDs00000774	histamine	111.14506	C1=C(NC=N1)CCN
CIDs00000784	hydrogen peroxide	34.01468	OO
CIDs00000785	quinol	110.11064	C1=CC(=CC=C1O)O
CIDs00000791	isoleucine	131.17292	CCC(C)C(C(=O)O)N
CIDs00000815	kanamycin sulphate	484.49864	C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)O)O)OC3C(C(C(C(O3)CO)O)N)O)N
CIDs00000836	DL-DOPA	197.18794	C1=CC(=C(C=C1CC(C(=O)O)N)O)O
CIDs00000838	epinephrine solution	183.20442	CNCC(C1=CC(=C(C=C1)O)O)O
CIDs00000853	thyroxine (T4	776.87002	C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)CC(C(=O)O)N
CIDs00000857	leucine	131.17292	CC(C)CC(C(=O)O)N
CIDs00000861	D-triiodothyronine	650.97349	C1=CC(=C(C=C1OC2=C(C=C(C=C2I)CC(C(=O)O)N)I)I)O
CIDs00000864	lipoic acid	206.32556	C1CSSC1CCCCC(=O)O
CIDs00000866	lysine	146.18756	C(CCN)CC(C(=O)O)N
CIDs00000871	polysaccharides	504.43708	C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)O)O
CIDs00000875	tartrate	150.08684	C(C(C(=O)O)O)(C(=O)O)O
CIDs00000876	methionine	149.21134	CSCCC(C(=O)O)N
CIDs00000887	methanol	32.04186	CO
CIDs00000892	myo-inositol	180.15588	C1(C(C(C(C(C1O)O)O)O)O)O
CIDs00000896	melatonin	232.27834	CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC
CIDs00000942	Nicorette	162.23156	CN1CCCC1C2=CN=CC=C2
CIDs00000947	nitrogen gas	28.0134	N#N
CIDs00000951	noradrenaline (norepinephrine	169.17784	C1=CC(=C(C=C1C(CN)O)O)O
CIDs00000977	oxygen	31.9988	O=O
CIDs00000978	p-aminobenzoic acid	137.13598	C1=CC(=CC=C1C(=O)O)N
CIDs00000985	palmitate	256.42408	CCCCCCCCCCCCCCCC(=O)O
CIDs00000994	phenylalanine	165.18914	C1=CC=C(C=C1)CC(C(=O)O)N
CIDs00000996	phenol	94.11124	C1=CC=C(C=C1)O
CIDs00001030	1,2-propanediol	76.09442	CC(CO)O
CIDs00001046	pyrazinamide	123.1127	C1=CN=C(C=N1)C(=O)N
CIDs00001065	Cinquin	324.41676	COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O
CIDs00001071	all-trans-retinol	286.4516	CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CCO)C)C
CIDs00001080	SCMC	179.19426	C(C(C(=O)O)N)SCC(=O)O
CIDs00001110	succinate	118.08804	C(CC(=O)O)C(=O)O
CIDs00001115	w/v) saccharose	342.29648	C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O
CIDs00001123	taurine	125.14688	C(CS(=O)(=O)O)N
CIDs00001134	thymidine (3H	242.22856	CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)O
CIDs00001148	D-tryptophan	204.22518	C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N
CIDs00001153	tyrosine	181.18854	C1=CC(=CC=C1CC(C(=O)O)N)O
CIDs00001156	Bioquinon	863.3435	CC1=C(C(=O)C(=C(C1=O)OC)OC)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C
CIDs00001174	uracil	112.08676	C1=CNC(=O)NC1=O
CIDs00001176	lotion	60.05526	C(=O)(N)N
CIDs00001182	DL-valine	117.14634	CC(C)C(C(=O)O)N
CIDs00001203	catechin	290.26806	C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O
CIDs00001254	menthol	156.2652	CC1CCC(C(C1)O)C(C)C
CIDs00001292	PPCM	152.14732	C1=CC=C(C=C1)C(C(=O)O)O
CIDs00001374	1-deoxynojirimycin (DNJ	163.17172	C1C(C(C(C(N1)CO)O)O)O
CIDs00001727	4-aminopyridine	94.11454	C1=CN=CC=C1N
CIDs00001732	4-chloro-m-cresol	142.58288	CC1=C(C=CC(=C1)O)Cl
CIDs00001775	phenytoin	252.26798	C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3
CIDs00001805	ArAAC	244.20468	C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N
CIDs00001839	furacin	198.13624	C1=C(OC(=C1)[N+](=O)[O-])C=NNC(=O)N
CIDs00001935	tacrine	198.26366	C1CCC2=NC3=CC=CC=C3C(=C2C1)N
CIDs00001972	amphotericin B solution	924.07902	CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O
CIDs00001978	acebutolol	336.42592	CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C
CIDs00001981	acemetacin	415.82372	CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)OCC(=O)O
CIDs00001983	paracetamol	151.16256	CC(=O)NC1=CC=C(C=C1)O
CIDs00001986	acetazolamide	222.24544	CC(=O)NC1=NN=C(S1)S(=O)(=O)N
CIDs00001989	acetohexamide	324.3953	CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2
CIDs00002019	actinomycin D	1255.41704	CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C
CIDs00002021	NSC248616	332.34956	CC1CC(=O)C2(C(O1)OC3C(C(C(C(C3O2)NC)O)NC)O)O
CIDs00002073	ajmaline	326.43264	CCC1C2CC3C4C5(CC(C2C5O)N3C1O)C6=CC=CC=C6N4C
CIDs00002082	albendazole	265.3314	CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
CIDs00002083	salbutamol	239.31074	CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O
CIDs00002088	alendronate	249.096044	C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN
CIDs00002092	alfuzosin	389.44878	CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC
CIDs00002096	Perselin	300.47818	CC12CCC3C(C1CCC2(CC=C)O)CCC4=CCCCC34
CIDs00002118	alprazolam	308.76492	CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4
CIDs00002123	hexamethylmelamine	210.27942	CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C
CIDs00002130	amantadine	151.24868	C1C2CC3CC1CC(C2)(C3)N
CIDs00002140	Hypaque	613.91357	CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)NC(=O)C)I
CIDs00002141	amifostine	214.222962	C(CN)CNCCSP(=O)(O)O
CIDs00002142	selemycin	585.60252	C1C(C(C(C(C1NC(=O)C(CCN)O)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(C(C(C(O3)CN)O)O)O)N
CIDs00002145	aminoglutethimide	232.27834	CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N
CIDs00002148	p-aminohippurate	194.1873	C1=CC(=CC=C1C(=O)NCC(=O)O)N
CIDs00002153	theophylline	180.16402	CN1C2=C(C(=O)N(C1=O)C)NC=N2
CIDs00002159	amisulpride	369.47898	CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC
CIDs00002160	amitriptyline	277.40332	CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31
CIDs00002162	amlodipine	408.8759	CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN
CIDs00002168	AC1L1D2O	317.5087	CCC(C)(C)C1=CC=C(C=C1)CC(C)CN2CC(OC(C2)C)C
CIDs00002170	amoxapine	313.78144	C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl
CIDs00002171	sodium amoxicillin	365.40416	CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)C
CIDs00002172	AC1MXB9R	199.16076	C1C2N(C1=O)C(C(=CCO)O2)C(=O)O
CIDs00002175	Sultamicillin Base	594.6571	CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)OCOC(=O)C4C(S(=O)(=O)C5N4C(=O)C5)(C)C)C
CIDs00002177	AC1L1D3F	505.6269	CC(C)CN(CC(C(CC1=CC=CC=C1)NC(=O)OC2CCOC2)O)S(=O)(=O)C3=CC=C(C=C3)N
CIDs00002179	amsacrine	393.45886	COC1=C(C=CC(=C1)NS(=O)(=O)C)NC2=C3C=CC=CC3=NC4=CC=CC=C42
CIDs00002187	anastrozole	293.36626	CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N
CIDs00002200	antazoline	265.35286	C1CN=C(N1)CN(CC2=CC=CC=C2)C3=CC=CC=C3
CIDs00002202	dithranol	226.2274	C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC=C3O
CIDs00002206	antipyrine	188.22578	CC1=CC(=O)N(N1C)C2=CC=CC=C2
CIDs00002216	apraclonidine	245.1085	C1CN=C(N1)NC2=C(C=C(C=C2Cl)N)Cl
CIDs00002232	AC1Q5QXC	508.63414	CC1CCN(C(C1)C(=O)O)C(=O)C(CCCN=C(N)N)NS(=O)(=O)C2=CC=CC3=C2NCC(C3)C
CIDs00002244	aspirin	180.15742	CC(=O)OC1=CC=CC=C1C(=O)O
CIDs00002247	astemizole	458.570343	COC1=CC=C(C=C1)CCN2CCC(CC2)NC3=NC4=CC=CC=C4N3CC5=CC=C(C=C5)F
