chemical	name	molecular_weight	SMILES_string
CIDs00002771	citalopram	324.391943	CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F
CIDs00003386	fluoxetine	309.32613	CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F
CIDs00003404	SSRI) fluvoxamine	318.33465	COCCCCC(=NOCCN)C1=CC=C(C=C1)C(F)(F)F
CIDs00004691	1596B	329.365403	C1CNCC(C1C2=CC=C(C=C2)F)COC3=CC4=C(C=C3)OCO4
CIDs00005203	sertraline hydrochloride	306.22958	CNC1CCC(C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl
CIDs00043815	paroxetine	329.365403	C1CNCC(C1C2=CC=C(C=C2)F)COC3=CC4=C(C=C3)OCO4
CIDs00054375	AC1Q3O5L	306.22958	CNC1CCC(C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl
CIDs00146570	escitalopram	324.391943	CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F
CIDs00451079	AC1L9PDV	304.414154	CN(C)C(CCOC1=CC=CC2=CC=CC=C21)C3=CC=CC=C3
CIDs00451082	AC1L9PDX	305.230314	CNC1CCC(C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl
CIDs00667572	NE16968	329.365403	C1CNCC(C1C2=CC=C(C=C2)F)COC3=CC4=C(C=C3)OCO4
CIDs00934161	Tocris-2141	329.365403	C1CNCC(C1C2=CC=C(C=C2)F)COC3=CC4=C(C=C3)OCO4
CIDs00934162	AC1Q1T03	329.365403	C1CNCC(C1C2=CC=C(C=C2)F)COC3=CC4=C(C=C3)OCO4
CIDs05361192	EP impurity-B	318.33465	COCCCCC(=NOCCN)C1=CC=C(C=C1)C(F)(F)F
CIDs06093397	ractransSertraline	306.22958	CNC1CCC(C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl
CIDs06093437	AC1O1BTI	305.41342	CN(C)C(CCOC1=CC=CC2=CC=CC=C21)C3=CC=CC=C3
CIDs06101829	R-citalopram	324.391943	CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F
CIDs06858276	AC1OAI1T	330.416271	CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F
CIDs06914091	AC1OC9B4	311.338453	CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F
CIDs09552076	MOLI001659	317.335383	COCCCCC(=NOCCN)C1=CC=C(C=C1)C(F)(F)F
CIDs09862286	SCHEMBL2847926	329.365403	C1CNCC(C1C2=CC=C(C=C2)F)COC3=CC4=C(C=C3)OCO4
CIDs09882979	rac-trans-Sertraline	306.22958	CNC1CCC(C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl
CIDs09966051	vortioxetine	298.44568	CC1=CC(=C(C=C1)SC2=CC=CC=C2N3CCNCC3)C
CIDs11267339	(1S)-1-[3,3-dideuterio-3-[di(methyl)amino]propyl]-1-(4-fluorophenyl)phthalan-5-carbonitrile	325.405	CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F
CIDs11267365	(1S)-1-(4-fluorophenyl)-1-[3-[methyl(trideuteriomethyl)amino]propyl]phthalan-5-carbonitrile	326.411162	CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F
CIDs11301740	(1S)-1-[3-[di(methyl)amino]propyl]-1-(4-fluorophenyl)phthalan-5-carbonitrile	323.392677	CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F
CIDs11722782	(1S,4S)-4-(3,4-dichlorophenyl)-N-methyl-7-tritio-tetralin-1-amine	308.237689	CNC1CCC(C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl
CIDs11758740	methyl-[3-[4-(trifluoromethyl)phenoxy]-3-(3-tritiophenyl)propyl]amine	311.334239	CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F
CIDs13408686	SCHEMBL5741903	306.22958	CNC1CCC(C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl
CIDs16113887	SCHEMBL12546470	312.344615	CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F
